source_top_folder	source_type	source_name	source_path	ref_kind	register_name
CommonModules	ОбщийМодуль	КадровыйУчет	CommonModules/КадровыйУчет/Ext/Module.bsl	Движения	ПериодыДействияДоговоровГражданскоПравовогоХарактера
CommonModules	ОбщийМодуль	КадровыйУчетБазовый	CommonModules/КадровыйУчетБазовый/Ext/Module.bsl	Движения	КадроваяИсторияСотрудников
CommonModules	ОбщийМодуль	КонтрольЗатрат	CommonModules/КонтрольЗатрат/Ext/Module.bsl	Движения	Период
CommonModules	ОбщийМодуль	КонтрольЗатрат	CommonModules/КонтрольЗатрат/Ext/Module.bsl	Движения	Регистратор
CommonModules	ОбщийМодуль	КонтрольЗатрат	CommonModules/КонтрольЗатрат/Ext/Module.bsl	Движения	СчетДт
CommonModules	ОбщийМодуль	НалогНаПрибыльБухгалтерскийУчет	CommonModules/НалогНаПрибыльБухгалтерскийУчет/Ext/Module.bsl	Движения	Хозрасчетный
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	ВидСубконтоКт1
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	ВидСубконтоКт2
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	ВидСубконтоКт3
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	СубконтоКт1
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	СубконтоКт2
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	СубконтоКт3
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	Сумма
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	СуммаВРДт
CommonModules	ОбщийМодуль	НалогНаПрибыльДекларация	CommonModules/НалогНаПрибыльДекларация/Ext/Module.bsl	Движения	СуммаНУДт
