source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаНовогоЭлемента/Ext/Form/Module.bsl	Справочники	Контрагенты
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаНовогоЭлемента/Ext/Form/Module.bsl	Справочники	СтраныМира
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаСписка/Ext/Form/Module.bsl	Перечисления	СостоянияСуществованияКонтрагента
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаСписка/Ext/Form/Module.bsl	Справочники	Контрагенты
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Обработки	ПрямойОбменЭД
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Отчеты	АнализНеоплаченныхСчетовПокупателям
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Отчеты	АнализНеоплаченныхСчетовПоставщиков
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Отчеты	ЗадолженностьПокупателей
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Отчеты	ЗадолженностьПоставщикам
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Перечисления	ВидыГосударственныхОрганов
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Перечисления	ВидыКонтактныхЛиц
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Перечисления	ЮридическоеФизическоеЛицо
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	РегистрыСведений	СтатусыДокументов
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Справочники	Банки
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Справочники	БанковскиеСчета
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Справочники	ВидыКонтактнойИнформации
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Справочники	КонтактныеЛица
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Справочники	Контрагенты
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Справочники	Организации
Catalogs	Справочник	Контрагенты	Catalogs/Контрагенты/Forms/ФормаЭлемента/Ext/Form/Module.bsl	Справочники	СтраныМира
Catalogs	Справочник	КонтрольныеЗнакиГИСМ	Catalogs/КонтрольныеЗнакиГИСМ/Ext/ManagerModule.bsl	Константы	ИспользоватьКонтрольныеЗнакиГИСМ
Catalogs	Справочник	КонтрольныеЗнакиГИСМ	Catalogs/КонтрольныеЗнакиГИСМ/Forms/ФормаВыбора/Ext/Form/Module.bsl	Справочники	ПодключаемоеОборудование
Catalogs	Справочник	ЛентыНовостей	Catalogs/ЛентыНовостей/Ext/ManagerModule.bsl	Перечисления	ТипыЗначенийКатегорийНовостей
Catalogs	Справочник	ЛентыНовостей	Catalogs/ЛентыНовостей/Ext/ManagerModule.bsl	Справочники	ЛентыНовостей
Catalogs	Справочник	ЛентыНовостей	Catalogs/ЛентыНовостей/Ext/ObjectModule.bsl	Обработки	УправлениеНовостями
Catalogs	Справочник	ЛентыНовостей	Catalogs/ЛентыНовостей/Ext/ObjectModule.bsl	Перечисления	ВариантЛогинаПароляДляЛентыНовостей
Catalogs	Справочник	ЛентыНовостей	Catalogs/ЛентыНовостей/Forms/ФормаНастройкиОтборовПоКатегории/Ext/Form/Module.bsl	Справочники	ЗначенияКатегорийНовостей
Catalogs	Справочник	ЛентыНовостей	Catalogs/ЛентыНовостей/Forms/ФормаСписка/Ext/Form/Module.bsl	Обработки	УправлениеНовостями
Catalogs	Справочник	ЛентыНовостей	Catalogs/ЛентыНовостей/Forms/ФормаСписка/Ext/Form/Module.bsl	РегистрыСведений	ДатыОбновленияСтандартныхСписковНовостей
