source_top_folder	source_type	source_name	source_path	query_table
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеЗначенийРеквизита/Ext/Form/Module.bsl	ТекущаяКатегория.Значения
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеЗначенийСРубрикатором/Ext/Form/Module.bsl	РегистрСведений.СоответствиеЗначенийРеквизитовРаботаСНоменклатурой
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатуры/Ext/Form/Module.bsl	ДанныеВарианта.Характеристики
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатуры/Ext/Form/Module.bsl	МакетКомпоновкиДанных.ЗначенияПараметров
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатуры/Ext/Form/Module.bsl	РегистрСведений.СоответствиеНоменклатурыРаботаСНоменклатурой
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатуры/Ext/Form/Module.bsl	Результат.Сообщения
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатурыСРубрикатором/Ext/Form/Module.bsl	ДинамическийСписок.КомпоновщикНастроек.ФиксированныеНастройки
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатурыСРубрикатором/Ext/Form/Module.bsl	Метаданные.ОпределяемыеТипы.ЗначенияСвойствОбъектовРаботаСНоменклатурой
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатурыСРубрикатором/Ext/Form/Module.bsl	НастройкиОтбора.Отбор.Элементы
DataProcessors	Обработка	РаботаСНоменклатурой	DataProcessors/РаботаСНоменклатурой/Forms/СопоставлениеНоменклатурыСРубрикатором/Ext/Form/Module.bsl	РегистрСведений.СоответствиеВидовНоменклатурыРаботаСНоменклатурой
