top_folder	type	name	xml_path	object_dir	forms_count	commands_count	has_manager_module	has_object_module	has_recordset_module	has_module
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовОС	AccumulationRegisters/КнигаУчетаДоходовИРасходовОС.xml	AccumulationRegisters/КнигаУчетаДоходовИРасходовОС	1	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовРаздел4	AccumulationRegisters/КнигаУчетаДоходовИРасходовРаздел4.xml	AccumulationRegisters/КнигаУчетаДоходовИРасходовРаздел4	1	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовРаздел5	AccumulationRegisters/КнигаУчетаДоходовИРасходовРаздел5.xml	AccumulationRegisters/КнигаУчетаДоходовИРасходовРаздел5	1	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовПатент	AccumulationRegisters/КнигаУчетаДоходовПатент.xml	AccumulationRegisters/КнигаУчетаДоходовПатент	1	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	НДСАвансыПоДоговорамКомиссии	AccumulationRegisters/НДСАвансыПоДоговорамКомиссии.xml	AccumulationRegisters/НДСАвансыПоДоговорамКомиссии	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСВключенныйВСтоимость	AccumulationRegisters/НДСВключенныйВСтоимость.xml	AccumulationRegisters/НДСВключенныйВСтоимость	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПокупок	AccumulationRegisters/НДСЗаписиКнигиПокупок.xml	AccumulationRegisters/НДСЗаписиКнигиПокупок	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПродаж	AccumulationRegisters/НДСЗаписиКнигиПродаж.xml	AccumulationRegisters/НДСЗаписиКнигиПродаж	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСЗаписиРаздела7Декларации	AccumulationRegisters/НДСЗаписиРаздела7Декларации.xml	AccumulationRegisters/НДСЗаписиРаздела7Декларации	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	НДСКосвенныеРасходы	AccumulationRegisters/НДСКосвенныеРасходы.xml	AccumulationRegisters/НДСКосвенныеРасходы	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСНачисленный	AccumulationRegisters/НДСНачисленный.xml	AccumulationRegisters/НДСНачисленный	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСНеоблагаемыеОперации	AccumulationRegisters/НДСНеоблагаемыеОперации.xml	AccumulationRegisters/НДСНеоблагаемыеОперации	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	НДСПоПриобретеннымЦенностям	AccumulationRegisters/НДСПоПриобретеннымЦенностям.xml	AccumulationRegisters/НДСПоПриобретеннымЦенностям	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСПредъявленный	AccumulationRegisters/НДСПредъявленный.xml	AccumulationRegisters/НДСПредъявленный	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСПредъявленныйРеализация0	AccumulationRegisters/НДСПредъявленныйРеализация0.xml	AccumulationRegisters/НДСПредъявленныйРеализация0	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСРаздельныйУчет	AccumulationRegisters/НДСРаздельныйУчет.xml	AccumulationRegisters/НДСРаздельныйУчет	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСРеализация0	AccumulationRegisters/НДСРеализация0.xml	AccumulationRegisters/НДСРеализация0	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДСсАвансов	AccumulationRegisters/НДСсАвансов.xml	AccumulationRegisters/НДСсАвансов	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДФЛКПеречислению	AccumulationRegisters/НДФЛКПеречислению.xml	AccumulationRegisters/НДФЛКПеречислению	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НДФЛПеречисленный	AccumulationRegisters/НДФЛПеречисленный.xml	AccumulationRegisters/НДФЛПеречисленный	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	НачисленияПоДоговорамГПХ	AccumulationRegisters/НачисленияПоДоговорамГПХ.xml	AccumulationRegisters/НачисленияПоДоговорамГПХ	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	НачисленияУдержанияПоСотрудникам	AccumulationRegisters/НачисленияУдержанияПоСотрудникам.xml	AccumulationRegisters/НачисленияУдержанияПоСотрудникам	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	НачисленияУдержанияПоСотрудникамАвансом	AccumulationRegisters/НачисленияУдержанияПоСотрудникамАвансом.xml	AccumulationRegisters/НачисленияУдержанияПоСотрудникамАвансом	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ОплатаСчетов	AccumulationRegisters/ОплатаСчетов.xml	AccumulationRegisters/ОплатаСчетов	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ОплатыНМАДляУСН	AccumulationRegisters/ОплатыНМАДляУСН.xml	AccumulationRegisters/ОплатыНМАДляУСН	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ОплатыОСДляУСН	AccumulationRegisters/ОплатыОСДляУСН.xml	AccumulationRegisters/ОплатыОСДляУСН	0	1	1	0	1	0
AccumulationRegisters	РегистрНакопления	ОстаткиАлкогольнойПродукцииЕГАИС	AccumulationRegisters/ОстаткиАлкогольнойПродукцииЕГАИС.xml	AccumulationRegisters/ОстаткиАлкогольнойПродукцииЕГАИС	1	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ОстаткиПартийЗЕРНО	AccumulationRegisters/ОстаткиПартийЗЕРНО.xml	AccumulationRegisters/ОстаткиПартийЗЕРНО	2	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ОстаткиПартийСАТУРН	AccumulationRegisters/ОстаткиПартийСАТУРН.xml	AccumulationRegisters/ОстаткиПартийСАТУРН	1	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ОтложенныеКурсовыеРазницы	AccumulationRegisters/ОтложенныеКурсовыеРазницы.xml	AccumulationRegisters/ОтложенныеКурсовыеРазницы	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ОтработанноеВремяПоСотрудникам	AccumulationRegisters/ОтработанноеВремяПоСотрудникам.xml	AccumulationRegisters/ОтработанноеВремяПоСотрудникам	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ОтработанноеВремяПоСотрудникамАвансом	AccumulationRegisters/ОтработанноеВремяПоСотрудникамАвансом.xml	AccumulationRegisters/ОтработанноеВремяПоСотрудникамАвансом	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ОценочныеОбязательства	AccumulationRegisters/ОценочныеОбязательства.xml	AccumulationRegisters/ОценочныеОбязательства	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ОценочныеОбязательстваПоСотрудникам	AccumulationRegisters/ОценочныеОбязательстваПоСотрудникам.xml	AccumulationRegisters/ОценочныеОбязательстваПоСотрудникам	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ПособияПоСоциальномуСтрахованию	AccumulationRegisters/ПособияПоСоциальномуСтрахованию.xml	AccumulationRegisters/ПособияПоСоциальномуСтрахованию	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ПособияПоУходуЗаРебенком	AccumulationRegisters/ПособияПоУходуЗаРебенком.xml	AccumulationRegisters/ПособияПоУходуЗаРебенком	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ПредоставленныеСтандартныеИСоциальныеВычетыНДФЛ	AccumulationRegisters/ПредоставленныеСтандартныеИСоциальныеВычетыНДФЛ.xml	AccumulationRegisters/ПредоставленныеСтандартныеИСоциальныеВычетыНДФЛ	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ПрослеживаемыеОсновныеСредства	AccumulationRegisters/ПрослеживаемыеОсновныеСредства.xml	AccumulationRegisters/ПрослеживаемыеОсновныеСредства	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ПрослеживаемыеТовары	AccumulationRegisters/ПрослеживаемыеТовары.xml	AccumulationRegisters/ПрослеживаемыеТовары	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ПрослеживаемыеТоварыОтгруженныеВЕАЭС	AccumulationRegisters/ПрослеживаемыеТоварыОтгруженныеВЕАЭС.xml	AccumulationRegisters/ПрослеживаемыеТоварыОтгруженныеВЕАЭС	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ПрочиеРасчеты	AccumulationRegisters/ПрочиеРасчеты.xml	AccumulationRegisters/ПрочиеРасчеты	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РазметкаАУСН	AccumulationRegisters/РазметкаАУСН.xml	AccumulationRegisters/РазметкаАУСН	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РасходыАУСН	AccumulationRegisters/РасходыАУСН.xml	AccumulationRegisters/РасходыАУСН	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РасходыНаОнлайнКассыУменьшающиеНалоги	AccumulationRegisters/РасходыНаОнлайнКассыУменьшающиеНалоги.xml	AccumulationRegisters/РасходыНаОнлайнКассыУменьшающиеНалоги	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	РасходыНаПлатон	AccumulationRegisters/РасходыНаПлатон.xml	AccumulationRegisters/РасходыНаПлатон	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	РасходыПриУСН	AccumulationRegisters/РасходыПриУСН.xml	AccumulationRegisters/РасходыПриУСН	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РасходыУменьшающиеНалогПоОтдельнымРежимам	AccumulationRegisters/РасходыУменьшающиеНалогПоОтдельнымРежимам.xml	AccumulationRegisters/РасходыУменьшающиеНалогПоОтдельнымРежимам	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	РасчетыНДФЛАУСН	AccumulationRegisters/РасчетыНДФЛАУСН.xml	AccumulationRegisters/РасчетыНДФЛАУСН	1	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РасчетыНалоговыхАгентовСБюджетомПоНДФЛ	AccumulationRegisters/РасчетыНалоговыхАгентовСБюджетомПоНДФЛ.xml	AccumulationRegisters/РасчетыНалоговыхАгентовСБюджетомПоНДФЛ	1	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	РасчетыНалогоплательщиковСБюджетомПоНДФЛ	AccumulationRegisters/РасчетыНалогоплательщиковСБюджетомПоНДФЛ.xml	AccumulationRegisters/РасчетыНалогоплательщиковСБюджетомПоНДФЛ	1	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РасчетыПоЕдиномуНалоговомуСчету	AccumulationRegisters/РасчетыПоЕдиномуНалоговомуСчету.xml	AccumulationRegisters/РасчетыПоЕдиномуНалоговомуСчету	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	РасчетыПоНалогамНаЕдиномНалоговомСчете	AccumulationRegisters/РасчетыПоНалогамНаЕдиномНалоговомСчете.xml	AccumulationRegisters/РасчетыПоНалогамНаЕдиномНалоговомСчете	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	РасчетыПоСанкциямНаЕдиномНалоговомСчете	AccumulationRegisters/РасчетыПоСанкциямНаЕдиномНалоговомСчете.xml	AccumulationRegisters/РасчетыПоСанкциямНаЕдиномНалоговомСчете	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	РасчетыСФондамиПоСтраховымВзносам	AccumulationRegisters/РасчетыСФондамиПоСтраховымВзносам.xml	AccumulationRegisters/РасчетыСФондамиПоСтраховымВзносам	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РеализацияУслуг	AccumulationRegisters/РеализацияУслуг.xml	AccumulationRegisters/РеализацияУслуг	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	РеализованныеТоварыКомитентов	AccumulationRegisters/РеализованныеТоварыКомитентов.xml	AccumulationRegisters/РеализованныеТоварыКомитентов	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	СведенияОДоходахНДФЛ	AccumulationRegisters/СведенияОДоходахНДФЛ.xml	AccumulationRegisters/СведенияОДоходахНДФЛ	1	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	СведенияОДоходахСтраховыеВзносы	AccumulationRegisters/СведенияОДоходахСтраховыеВзносы.xml	AccumulationRegisters/СведенияОДоходахСтраховыеВзносы	1	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	СрокиИспользованияГрупповыхОбъектовОС	AccumulationRegisters/СрокиИспользованияГрупповыхОбъектовОС.xml	AccumulationRegisters/СрокиИспользованияГрупповыхОбъектовОС	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	СтраховыеВзносыПереданныеВПФР	AccumulationRegisters/СтраховыеВзносыПереданныеВПФР.xml	AccumulationRegisters/СтраховыеВзносыПереданныеВПФР	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	СтраховыеВзносыПоФизическимЛицам	AccumulationRegisters/СтраховыеВзносыПоФизическимЛицам.xml	AccumulationRegisters/СтраховыеВзносыПоФизическимЛицам	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ТуристическийНалог	AccumulationRegisters/ТуристическийНалог.xml	AccumulationRegisters/ТуристическийНалог	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьАвансовыеПлатежиИностранцевПоНДФЛ	AccumulationRegisters/УдалитьАвансовыеПлатежиИностранцевПоНДФЛ.xml	AccumulationRegisters/УдалитьАвансовыеПлатежиИностранцевПоНДФЛ	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	УдалитьВзаиморасчетыСДепонентамиОрганизаций	AccumulationRegisters/УдалитьВзаиморасчетыСДепонентамиОрганизаций.xml	AccumulationRegisters/УдалитьВзаиморасчетыСДепонентамиОрганизаций	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьВзаиморасчетыСРаботникамиОрганизаций	AccumulationRegisters/УдалитьВзаиморасчетыСРаботникамиОрганизаций.xml	AccumulationRegisters/УдалитьВзаиморасчетыСРаботникамиОрганизаций	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьЕСНИсчисленный	AccumulationRegisters/УдалитьЕСНИсчисленный.xml	AccumulationRegisters/УдалитьЕСНИсчисленный	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьЕСНСведенияОДоходах	AccumulationRegisters/УдалитьЕСНСведенияОДоходах.xml	AccumulationRegisters/УдалитьЕСНСведенияОДоходах	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьНДФЛИмущественныеВычетыФизлиц	AccumulationRegisters/УдалитьНДФЛИмущественныеВычетыФизлиц.xml	AccumulationRegisters/УдалитьНДФЛИмущественныеВычетыФизлиц	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьНДФЛКЗачету	AccumulationRegisters/УдалитьНДФЛКЗачету.xml	AccumulationRegisters/УдалитьНДФЛКЗачету	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьНДФЛПредоставленныеСтандартныеВычетыФизЛиц	AccumulationRegisters/УдалитьНДФЛПредоставленныеСтандартныеВычетыФизЛиц.xml	AccumulationRegisters/УдалитьНДФЛПредоставленныеСтандартныеВычетыФизЛиц	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	УдалитьНДФЛРасчетыСБюджетом	AccumulationRegisters/УдалитьНДФЛРасчетыСБюджетом.xml	AccumulationRegisters/УдалитьНДФЛРасчетыСБюджетом	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьНДФЛСведенияОДоходах	AccumulationRegisters/УдалитьНДФЛСведенияОДоходах.xml	AccumulationRegisters/УдалитьНДФЛСведенияОДоходах	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьПособияПоУходуЗаРебенкомДоПолутораЛет	AccumulationRegisters/УдалитьПособияПоУходуЗаРебенкомДоПолутораЛет.xml	AccumulationRegisters/УдалитьПособияПоУходуЗаРебенкомДоПолутораЛет	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьПособияСоциальномуСтрахованию	AccumulationRegisters/УдалитьПособияСоциальномуСтрахованию.xml	AccumulationRegisters/УдалитьПособияСоциальномуСтрахованию	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьРасчетыПоСтраховымВзносам	AccumulationRegisters/УдалитьРасчетыПоСтраховымВзносам.xml	AccumulationRegisters/УдалитьРасчетыПоСтраховымВзносам	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УдалитьСтраховыеВзносыСведенияОДоходах	AccumulationRegisters/УдалитьСтраховыеВзносыСведенияОДоходах.xml	AccumulationRegisters/УдалитьСтраховыеВзносыСведенияОДоходах	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	УменьшениеНалогаНаСтраховыеВзносыИП	AccumulationRegisters/УменьшениеНалогаНаСтраховыеВзносыИП.xml	AccumulationRegisters/УменьшениеНалогаНаСтраховыеВзносыИП	1	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	УплатаНДФЛНалоговымиАгентамиКРаспределению	AccumulationRegisters/УплатаНДФЛНалоговымиАгентамиКРаспределению.xml	AccumulationRegisters/УплатаНДФЛНалоговымиАгентамиКРаспределению	0	0	1	0	0	0
BusinessProcesses	БизнесПроцесс	Задание	BusinessProcesses/Задание.xml	BusinessProcesses/Задание	4	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	ЗаявкаСотрудникаИзменитьЛичныеДанные	BusinessProcesses/ЗаявкаСотрудникаИзменитьЛичныеДанные.xml	BusinessProcesses/ЗаявкаСотрудникаИзменитьЛичныеДанные	3	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	ЗаявкаСотрудникаНалоговыйВычет	BusinessProcesses/ЗаявкаСотрудникаНалоговыйВычет.xml	BusinessProcesses/ЗаявкаСотрудникаНалоговыйВычет	3	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	ЗаявкаСотрудникаОтпуск	BusinessProcesses/ЗаявкаСотрудникаОтпуск.xml	BusinessProcesses/ЗаявкаСотрудникаОтпуск	3	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	ЗаявкаСотрудникаОтсутствиеПоБолезни	BusinessProcesses/ЗаявкаСотрудникаОтсутствиеПоБолезни.xml	BusinessProcesses/ЗаявкаСотрудникаОтсутствиеПоБолезни	3	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	ЗаявкаСотрудникаСправка2НДФЛ	BusinessProcesses/ЗаявкаСотрудникаСправка2НДФЛ.xml	BusinessProcesses/ЗаявкаСотрудникаСправка2НДФЛ	3	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	ИсполнениеЗаявкиСотрудника	BusinessProcesses/ИсполнениеЗаявкиСотрудника.xml	BusinessProcesses/ИсполнениеЗаявкиСотрудника	3	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	ОбращениеСотрудника	BusinessProcesses/ОбращениеСотрудника.xml	BusinessProcesses/ОбращениеСотрудника	3	0	1	1	0	0
BusinessProcesses	БизнесПроцесс	УдалитьЗаявкаКабинетСотрудника	BusinessProcesses/УдалитьЗаявкаКабинетСотрудника.xml	BusinessProcesses/УдалитьЗаявкаКабинетСотрудника	4	0	1	1	0	0
Catalogs	Справочник	АвансовыйОтчетПрисоединенныеФайлы	Catalogs/АвансовыйОтчетПрисоединенныеФайлы.xml	Catalogs/АвансовыйОтчетПрисоединенныеФайлы	0	0	1	1	0	0
Catalogs	Справочник	АвансовыйПлатежИностранцаПоНДФЛПрисоединенныеФайлы	Catalogs/АвансовыйПлатежИностранцаПоНДФЛПрисоединенныеФайлы.xml	Catalogs/АвансовыйПлатежИностранцаПоНДФЛПрисоединенныеФайлы	0	0	1	1	0	0
Catalogs	Справочник	АктОРасхожденияхПрисоединенныеФайлы	Catalogs/АктОРасхожденияхПрисоединенныеФайлы.xml	Catalogs/АктОРасхожденияхПрисоединенныеФайлы	0	0	1	1	0	0
Catalogs	Справочник	АктОбОказанииПроизводственныхУслугПрисоединенныеФайлы	Catalogs/АктОбОказанииПроизводственныхУслугПрисоединенныеФайлы.xml	Catalogs/АктОбОказанииПроизводственныхУслугПрисоединенныеФайлы	0	0	1	1	0	0
Catalogs	Справочник	АктПроверкиСтраховыхВзносовПрисоединенныеФайлы	Catalogs/АктПроверкиСтраховыхВзносовПрисоединенныеФайлы.xml	Catalogs/АктПроверкиСтраховыхВзносовПрисоединенныеФайлы	0	0	1	1	0	0
Catalogs	Справочник	АктСверкиВзаиморасчетовПрисоединенныеФайлы	Catalogs/АктСверкиВзаиморасчетовПрисоединенныеФайлы.xml	Catalogs/АктСверкиВзаиморасчетовПрисоединенныеФайлы	0	0	1	1	0	0
Catalogs	Справочник	АктыОтбораПробЗЕРНО	Catalogs/АктыОтбораПробЗЕРНО.xml	Catalogs/АктыОтбораПробЗЕРНО	3	0	1	1	0	0
Catalogs	Справочник	Банки	Catalogs/Банки.xml	Catalogs/Банки	5	0	1	1	0	0
Catalogs	Справочник	БанкиУниверсальногоОбмена	Catalogs/БанкиУниверсальногоОбмена.xml	Catalogs/БанкиУниверсальногоОбмена	1	0	1	1	0	0
Catalogs	Справочник	БанковскиеКартыКонтрагентов	Catalogs/БанковскиеКартыКонтрагентов.xml	Catalogs/БанковскиеКартыКонтрагентов	2	0	1	1	0	0
