source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	РегистрыСведений	ПрименяемыеТарифыСтраховыхВзносов
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	РегистрыСведений	РазмерФиксированныхВзносовОтНесчастныхСлучаевАУСН
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	РегистрыСведений	СостоянияПодключенияЕНС
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	РегистрыСведений	СтавкаВзносаНаСтрахованиеОтНесчастныхСлучаев
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	РегистрыСведений	СтавкиНалогаНаИмущество
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	РегистрыСведений	УчетнаяПолитика
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	Справочники	ВидыНалоговИПлатежейВБюджет
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	Справочники	ВидыТарифовСтраховыхВзносов
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	Справочники	ЗадачиБухгалтера
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	Справочники	Организации
CommonForms	ОбщаяФорма	НалогиИОтчеты	CommonForms/НалогиИОтчеты/Ext/Form/Module.bsl	Справочники	ПравилаПредставленияОтчетовУплатыНалогов
CommonForms	ОбщаяФорма	НастройкаАвтоматическогоПриемаПриглашенийЭДО	CommonForms/НастройкаАвтоматическогоПриемаПриглашенийЭДО/Ext/Form/Module.bsl	Константы	ПриниматьПриглашенияЭДОАвтоматически
CommonForms	ОбщаяФорма	НастройкаАвтоматическогоПриемаПриглашенийЭДО	CommonForms/НастройкаАвтоматическогоПриемаПриглашенийЭДО/Ext/Form/Module.bsl	Константы	ТребуетсяНастройкаАвтоматическогоПриемаПриглашенийЭДО
CommonForms	ОбщаяФорма	НастройкаКомандПечати	CommonForms/НастройкаКомандПечати/Ext/Form/Module.bsl	РегистрыСведений	НастройкиКомандПечати
CommonForms	ОбщаяФорма	НастройкаМоихОтчетовИОбработок	CommonForms/НастройкаМоихОтчетовИОбработок/Ext/Form/Module.bsl	Перечисления	ВидыДополнительныхОтчетовИОбработок
CommonForms	ОбщаяФорма	НастройкаМоихОтчетовИОбработок	CommonForms/НастройкаМоихОтчетовИОбработок/Ext/Form/Module.bsl	Перечисления	СпособыВызоваДополнительныхОбработок
CommonForms	ОбщаяФорма	НастройкаМоихОтчетовИОбработок	CommonForms/НастройкаМоихОтчетовИОбработок/Ext/Form/Module.bsl	РегистрыСведений	ПользовательскиеНастройкиДоступаКОбработкам
CommonForms	ОбщаяФорма	НастройкаОтправкиОтчетностиВБанк	CommonForms/НастройкаОтправкиОтчетностиВБанк/Ext/Form/Module.bsl	РегистрыСведений	ЖурналПередачиОтчетностиВБанк
CommonForms	ОбщаяФорма	НастройкаОтправкиОтчетностиВБанк	CommonForms/НастройкаОтправкиОтчетностиВБанк/Ext/Form/Module.bsl	РегистрыСведений	НастройкиОтправкиОтчетностиВБанк
CommonForms	ОбщаяФорма	НастройкаПереводаТекста	CommonForms/НастройкаПереводаТекста/Ext/Form/Module.bsl	Перечисления	СервисыПереводаТекста
CommonForms	ОбщаяФорма	НастройкаПечатиКонвертов	CommonForms/НастройкаПечатиКонвертов/Ext/Form/Module.bsl	Перечисления	ФорматыПочтовыхКонвертов
CommonForms	ОбщаяФорма	НастройкаПечатиКонвертов	CommonForms/НастройкаПечатиКонвертов/Ext/Form/Module.bsl	Справочники	Организации
CommonForms	ОбщаяФорма	НастройкаПодписания	CommonForms/НастройкаПодписания/Ext/Form/Module.bsl	Перечисления	ДействияСФайламиДокументовЭДОБЗК
CommonForms	ОбщаяФорма	НастройкаПодтвержденияКриптоопераций	CommonForms/НастройкаПодтвержденияКриптоопераций/Ext/Form/Module.bsl	Перечисления	СпособыПодтвержденияКриптоопераций
CommonForms	ОбщаяФорма	НастройкаСертификатовДляАвтоматическогоОбменаИС	CommonForms/НастройкаСертификатовДляАвтоматическогоОбменаИС/Ext/Form/Module.bsl	Константы	НастройкиОбменаГосИС
CommonForms	ОбщаяФорма	НастройкиЗарплаты	CommonForms/НастройкиЗарплаты/Ext/Form/Module.bsl	Константы	РасчетЗарплатыПоПодразделениямДляНебольшихОрганизаций
CommonForms	ОбщаяФорма	НастройкиЗарплаты	CommonForms/НастройкиЗарплаты/Ext/Form/Module.bsl	Константы	УчетЗарплатыИКадровВоВнешнейПрограмме
CommonForms	ОбщаяФорма	НастройкиЗарплаты	CommonForms/НастройкиЗарплаты/Ext/Form/Module.bsl	Обработки	НастраиваемыеПечатныеФормыЗарплатаКадры
CommonForms	ОбщаяФорма	НастройкиЗарплаты	CommonForms/НастройкиЗарплаты/Ext/Form/Module.bsl	РегистрыСведений	НастройкиУчетаЗарплаты
CommonForms	ОбщаяФорма	НастройкиЗарплаты	CommonForms/НастройкиЗарплаты/Ext/Form/Module.bsl	Справочники	ВидыДокументовЭДОБЗК
CommonForms	ОбщаяФорма	НастройкиЗарплаты	CommonForms/НастройкиЗарплаты/Ext/Form/Module.bsl	Справочники	Организации
CommonForms	ОбщаяФорма	НастройкиЗарплаты	CommonForms/НастройкиЗарплаты/Ext/Form/Module.bsl	Справочники	ШаблоныДокументов
CommonForms	ОбщаяФорма	НастройкиКонтроляКодовМаркировки	CommonForms/НастройкиКонтроляКодовМаркировки/Ext/Form/Module.bsl	Перечисления	ВидыОперацийИСМП
CommonForms	ОбщаяФорма	НастройкиКонтроляКодовМаркировки	CommonForms/НастройкиКонтроляКодовМаркировки/Ext/Form/Module.bsl	РегистрыСведений	НастройкиУчетаМаркируемойПродукцииИСМП
CommonForms	ОбщаяФорма	НастройкиПлатежныхПорученийТребований	CommonForms/НастройкиПлатежныхПорученийТребований/Ext/Form/Module.bsl	Справочники	БанковскиеСчета
CommonForms	ОбщаяФорма	НастройкиПлатежныхПорученийТребований	CommonForms/НастройкиПлатежныхПорученийТребований/Ext/Form/Module.bsl	Справочники	Организации
CommonForms	ОбщаяФорма	НастройкиПравОбъектов	CommonForms/НастройкиПравОбъектов/Ext/Form/Module.bsl	РегистрыСведений	НастройкиПравОбъектов
