source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Ext/ObjectModule.bsl	Перечисления	ПорядкиОкругленияОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Ext/ObjectModule.bsl	Перечисления	ЮридическоеФизическоеЛицо
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Ext/ObjectModule.bsl	РегистрыСведений	ДополнительныеФайлыРегламентированныхОтчетов
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Ext/ObjectModule.bsl	Справочники	Организации
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/КонтрольныеСоотношения/Ext/Form/Module.bsl	Отчеты	РегламентированныйОтчетБухОтчетность
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/НастройкиОтчета/Ext/Form/Module.bsl	Перечисления	ПорядкиОкругленияОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ОсновнаяФорма/Ext/Form/Module.bsl	Справочники	Организации
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв1/Ext/Form/Module.bsl	Документы	РегламентированныйОтчет
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв1/Ext/Form/Module.bsl	Перечисления	ВидыОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв1/Ext/Form/Module.bsl	Перечисления	ПорядкиОкругленияОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв1/Ext/Form/Module.bsl	Справочники	Организации
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв3/Ext/Form/Module.bsl	Документы	РегламентированныйОтчет
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв3/Ext/Form/Module.bsl	Перечисления	ВидыОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв3/Ext/Form/Module.bsl	Перечисления	ПорядкиОкругленияОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв3/Ext/Form/Module.bsl	Справочники	Организации
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв4/Ext/Form/Module.bsl	Перечисления	ВидыОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв4/Ext/Form/Module.bsl	Перечисления	ПорядкиОкругленияОтчетности
Reports	Отчет	РегламентированныйОтчетБухОтчетность	Reports/РегламентированныйОтчетБухОтчетность/Forms/ФормаОтчета2011Кв4/Ext/Form/Module.bsl	РегистрыСведений	ДополнительныеФайлыРегламентированныхОтчетов
