source_top_folder	source_type	source_name	source_path	query_table
CommonForms	ОбщаяФорма	ВыборПрисоединенногоФайла	CommonForms/ВыборПрисоединенногоФайла/Ext/Form/Module.bsl	ДеревоТипов.Строки
CommonForms	ОбщаяФорма	ВыборПрисоединенногоФайла	CommonForms/ВыборПрисоединенногоФайла/Ext/Form/Module.bsl	МетаданныеОбъекта.СтандартныеРеквизиты
CommonForms	ОбщаяФорма	ВыборПрисоединенногоФайла	CommonForms/ВыборПрисоединенногоФайла/Ext/Form/Module.bsl	Справочник.Организации
CommonForms	ОбщаяФорма	ВыборПрисоединенногоФайла	CommonForms/ВыборПрисоединенногоФайла/Ext/Form/Module.bsl	ТипыОбъектов.ПолучитьЭлементы
CommonForms	ОбщаяФорма	ВыборУзловПлановОбмена	CommonForms/ВыборУзловПлановОбмена/Ext/Form/Module.bsl	Параметры.ПланыОбменаДляВыбора
CommonForms	ОбщаяФорма	ВыборУзловПлановОбмена	CommonForms/ВыборУзловПлановОбмена/Ext/Form/Module.bsl	Элементы.УзлыПлановОбмена.ВыделенныеСтроки
CommonForms	ОбщаяФорма	ВыборФайловСведенийФизическихЛиц	CommonForms/ВыборФайловСведенийФизическихЛиц/Ext/Form/Module.bsl	Справочник.РегистрацииВНалоговомОргане
CommonForms	ОбщаяФорма	ВыборФайловСведенийФизическихЛиц	CommonForms/ВыборФайловСведенийФизическихЛиц/Ext/Form/Module.bsl	СтрокаФайла.ОписаниеПереданныхФайлов
CommonForms	ОбщаяФорма	ВыборФайловСведенийФизическихЛиц	CommonForms/ВыборФайловСведенийФизическихЛиц/Ext/Form/Module.bsl	Элементы.СписокФайлов.ВыделенныеСтроки
CommonForms	ОбщаяФорма	ГруппыПользователей	CommonForms/ГруппыПользователей/Ext/Form/Module.bsl	ДеревоГрупп.ПолучитьЭлементы
CommonForms	ОбщаяФорма	ГруппыПользователей	CommonForms/ГруппыПользователей/Ext/Form/Module.bsl	СправочникСсылка.ВнешниеПользователи
CommonForms	ОбщаяФорма	ГруппыПользователей	CommonForms/ГруппыПользователей/Ext/Form/Module.bsl	СправочникСсылка.ГруппыПользователей
CommonForms	ОбщаяФорма	ГруппыПользователей	CommonForms/ГруппыПользователей/Ext/Form/Module.bsl	СправочникСсылка.Пользователи
CommonForms	ОбщаяФорма	ЗагрузкаКлассификатора	CommonForms/ЗагрузкаКлассификатора/Ext/Form/Module.bsl	Параметры.ДополнительныеПоля
CommonForms	ОбщаяФорма	ЗагрузкаКлассификатора	CommonForms/ЗагрузкаКлассификатора/Ext/Form/Module.bsl	СвойстваЭлемента.ЗначенияДополнительныхПолей
CommonForms	ОбщаяФорма	ЗагрузкаКлассификатора	CommonForms/ЗагрузкаКлассификатора/Ext/Form/Module.bsl	СтрокаПолногоДерева.Строки
CommonForms	ОбщаяФорма	ЗагрузкаКлассификатора	CommonForms/ЗагрузкаКлассификатора/Ext/Form/Module.bsl	СтрокаРодитель.ПолучитьЭлементы
CommonForms	ОбщаяФорма	ЗагрузкаКлассификатора	CommonForms/ЗагрузкаКлассификатора/Ext/Form/Module.bsl	ТекСтрока.ПолучитьЭлементы
CommonForms	ОбщаяФорма	ЗаполнениеСправочниковИзКлассификаторов	CommonForms/ЗаполнениеСправочниковИзКлассификаторов/Ext/Form/Module.bsl	ЗагружаемыйЭлемент.ЗначенияПолейСтрокиКлассификатора
