source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	Перечисления	СпособыУчетаНДС
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	ПланыВидовХарактеристик	ВидыСубконтоХозрасчетные
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	ПланыСчетов	Хозрасчетный
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	Справочники	ПрочиеДоходыИРасходы
AccumulationRegisters	РегистрНакопления	АвансовыеПлатежиИностранцевПоНДФЛ	AccumulationRegisters/АвансовыеПлатежиИностранцевПоНДФЛ/Ext/ManagerModule.bsl	РегистрыНакопления	АвансовыеПлатежиИностранцевПоНДФЛ
AccumulationRegisters	РегистрНакопления	БухгалтерскиеВзаиморасчетыССотрудниками	AccumulationRegisters/БухгалтерскиеВзаиморасчетыССотрудниками/Ext/ManagerModule.bsl	РегистрыНакопления	БухгалтерскиеВзаиморасчетыССотрудниками
AccumulationRegisters	РегистрНакопления	ВзаиморасчетыССотрудниками	AccumulationRegisters/ВзаиморасчетыССотрудниками/Ext/ManagerModule.bsl	РегистрыНакопления	ВзаиморасчетыССотрудниками
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Документы	ВозвратТоваровОтПокупателя
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	РегистрыНакопления	ВозвратыТоваров
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Справочники	ЦиклыОбмена
AccumulationRegisters	РегистрНакопления	ВыпускПродукцииУслуг	AccumulationRegisters/ВыпускПродукцииУслуг/Ext/RecordSetModule.bsl	Справочники	ПодразделенияОрганизаций
AccumulationRegisters	РегистрНакопления	ЗадолженностьСамозанятыхПоРеестру	AccumulationRegisters/ЗадолженностьСамозанятыхПоРеестру/Ext/ManagerModule.bsl	Документы	ВыплатыСамозанятым
AccumulationRegisters	РегистрНакопления	ЗадолженностьСамозанятыхПоРеестру	AccumulationRegisters/ЗадолженностьСамозанятыхПоРеестру/Ext/ManagerModule.bsl	РегистрыНакопления	ЗадолженностьСамозанятыхПоРеестру
AccumulationRegisters	РегистрНакопления	ЗарплатаКВыплате	AccumulationRegisters/ЗарплатаКВыплате/Ext/ManagerModule.bsl	РегистрыНакопления	ЗарплатаКВыплате
AccumulationRegisters	РегистрНакопления	ЗарплатаКВыплатеАвансом	AccumulationRegisters/ЗарплатаКВыплатеАвансом/Ext/ManagerModule.bsl	РегистрыНакопления	ЗарплатаКВыплатеАвансом
AccumulationRegisters	РегистрНакопления	ИПИныеМатериальныеРасходы	AccumulationRegisters/ИПИныеМатериальныеРасходы/Ext/ManagerModule.bsl	Документы	ТипВсеСсылки
AccumulationRegisters	РегистрНакопления	ИПИныеМатериальныеРасходы	AccumulationRegisters/ИПИныеМатериальныеРасходы/Ext/ManagerModule.bsl	Справочники	ТипВсеСсылки
