source_top_folder	source_type	source_name	source_path	query_table
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	Проводка.СубконтоДт
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	Проводка.СубконтоКт
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	РегистрБухгалтерииЗапись.Хозрасчетный
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Документ.ВозвратТоваровОтПокупателя
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Документ.КорректировкаРеализации
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Документ.ОтчетКомиссионераОПродажах
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Документ.ОтчетОРозничныхПродажах
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Документ.ОтчетОРозничныхПродажах.Товары
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Документ.РеализацияТоваровУслуг
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	РегистрНакопления.ВозвратыТоваров
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	Справочник.Номенклатура
AccumulationRegisters	РегистрНакопления	ЗадолженностьСамозанятыхПоРеестру	AccumulationRegisters/ЗадолженностьСамозанятыхПоРеестру/Ext/ManagerModule.bsl	Документ.ВыплатыСамозанятым.Выплаты
AccumulationRegisters	РегистрНакопления	ИПИныеМатериальныеРасходы	AccumulationRegisters/ИПИныеМатериальныеРасходы/Ext/ManagerModule.bsl	Параметры.ИзмененияПартииМПЗ
AccumulationRegisters	РегистрНакопления	ИПИныеМатериальныеРасходы	AccumulationRegisters/ИПИныеМатериальныеРасходы/Ext/ManagerModule.bsl	РегистрСведений.ДанныеПервичныхДокументов
AccumulationRegisters	РегистрНакопления	ИПМПЗ	AccumulationRegisters/ИПМПЗ/Ext/ManagerModule.bsl	Параметры.ИзмененияВидаМПЗ
AccumulationRegisters	РегистрНакопления	ИПМПЗ	AccumulationRegisters/ИПМПЗ/Ext/ManagerModule.bsl	РегистрСведений.ДанныеПервичныхДокументов
AccumulationRegisters	РегистрНакопления	ИПМПЗОбороты	AccumulationRegisters/ИПМПЗОбороты/Ext/ManagerModule.bsl	Параметры.ИзмененияОборотовВидаМПЗ
AccumulationRegisters	РегистрНакопления	ИПМПЗОбороты	AccumulationRegisters/ИПМПЗОбороты/Ext/ManagerModule.bsl	РегистрСведений.ДанныеПервичныхДокументов
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходов	AccumulationRegisters/КнигаУчетаДоходовИРасходов/Ext/ManagerModule.bsl	РегистрБухгалтерии.Хозрасчетный.Субконто
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходов	AccumulationRegisters/КнигаУчетаДоходовИРасходов/Ext/ManagerModule.bsl	РегистрНакопления.КнигаУчетаДоходовИРасходов
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходов	AccumulationRegisters/КнигаУчетаДоходовИРасходов/Ext/ManagerModule.bsl	РегистрСведений.НастройкиСистемыНалогообложения
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходов	AccumulationRegisters/КнигаУчетаДоходовИРасходов/Ext/ManagerModule.bsl	Справочник.ДоговорыКонтрагентов
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовПатент	AccumulationRegisters/КнигаУчетаДоходовПатент/Ext/ManagerModule.bsl	РегистрБухгалтерии.Хозрасчетный.Субконто
AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовПатент	AccumulationRegisters/КнигаУчетаДоходовПатент/Ext/ManagerModule.bsl	Справочник.ДоговорыКонтрагентов
AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПродаж	AccumulationRegisters/НДСЗаписиКнигиПродаж/Ext/ManagerModule.bsl	Документ.РеализацияТоваровУслуг.Товары
AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПродаж	AccumulationRegisters/НДСЗаписиКнигиПродаж/Ext/ManagerModule.bsl	РегистрНакопления.НДСЗаписиКнигиПродаж
