source_top_folder	source_type	source_name	source_path	query_table
CommonModules	ОбщийМодуль	Ценообразование	CommonModules/Ценообразование/Ext/Module.bsl	Справочник.ТипыЦенНоменклатуры
CommonModules	ОбщийМодуль	ЦентрМониторингаСлужебный	CommonModules/ЦентрМониторингаСлужебный/Ext/Module.bsl	Данные.Колонки
CommonModules	ОбщийМодуль	ЦентрМониторингаСлужебный	CommonModules/ЦентрМониторингаСлужебный/Ext/Module.bsl	Ответ.Заголовки
CommonModules	ОбщийМодуль	ЦентрМониторингаСлужебный	CommonModules/ЦентрМониторингаСлужебный/Ext/Module.bsl	Параметры.ВариантыДампов
CommonModules	ОбщийМодуль	ЦентрМониторингаСлужебный	CommonModules/ЦентрМониторингаСлужебный/Ext/Module.bsl	Параметры.ВариантыДамповОдобренные
CommonModules	ОбщийМодуль	ЦентрМониторингаСлужебный	CommonModules/ЦентрМониторингаСлужебный/Ext/Module.bsl	ТекКолонка.Значение
CommonModules	ОбщийМодуль	ЧекиЕГАИС	CommonModules/ЧекиЕГАИС/Ext/Module.bsl	ВложенныеШтрихкодыУпаковок.МаркированныеТовары
CommonModules	ОбщийМодуль	ЧекиЕГАИС	CommonModules/ЧекиЕГАИС/Ext/Module.bsl	ПеречислениеСсылка.СтатусыИнформированияЕГАИС
CommonModules	ОбщийМодуль	ЧекиЕГАИС	CommonModules/ЧекиЕГАИС/Ext/Module.bsl	Справочник.КлассификаторАлкогольнойПродукцииЕГАИС
CommonModules	ОбщийМодуль	ЧекиЕГАИС	CommonModules/ЧекиЕГАИС/Ext/Module.bsl	СтрокаТЧ.АкцизныеМарки
CommonModules	ОбщийМодуль	ЧекиНПД	CommonModules/ЧекиНПД/Ext/Module.bsl	СведенияОЧеках.СтатусыЧеков
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	ДанныеПоШтрихкодам.ВложенныеШтрихкоды.МаркированныеТовары
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	ДанныеПоШтрихкодам.ДанныеКодовМаркировки
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	ДанныеШтрихкода.Справки2
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	ДеревоУпаковок.Строки
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	ЗаполняемыеКолонки.Прочие
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	Источник.Колонки
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	РегистрСведений.АкцизныеМаркиЕГАИС
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	РегистрСведений.ОписаниеНоменклатурыИС
CommonModules	ОбщийМодуль	ШтрихкодированиеЕГАИС	CommonModules/ШтрихкодированиеЕГАИС/Ext/Module.bsl	РегистрСведений.СоответствиеНоменклатурыЕГАИС
