source_top_folder	source_type	source_name	source_path	query_table
CommonModules	ОбщийМодуль	ОбменДаннымиОбновлениеСПредыдущейРедакции	CommonModules/ОбменДаннымиОбновлениеСПредыдущейРедакции/Ext/Module.bsl	Метаданные.ПланыОбмена
CommonModules	ОбщийМодуль	ОбменДаннымиОбновлениеСПредыдущейРедакции	CommonModules/ОбменДаннымиОбновлениеСПредыдущейРедакции/Ext/Module.bsl	ПланОбмена.СинхронизацияДанныхЧерезУниверсальныйФормат
CommonModules	ОбщийМодуль	ОбменДаннымиОбновлениеСПредыдущейРедакции	CommonModules/ОбменДаннымиОбновлениеСПредыдущейРедакции/Ext/Module.bsl	РегистрСведений.СоответствияОбъектовИнформационныхБаз
CommonModules	ОбщийМодуль	ОбменДаннымиОценкаПроизводительности	CommonModules/ОбменДаннымиОценкаПроизводительности/Ext/Module.bsl	Объект.КлючевыеСвойства
CommonModules	ОбщийМодуль	ОбменДаннымиПовтИсп	CommonModules/ОбменДаннымиПовтИсп/Ext/Module.bsl	Метаданные.ПланыОбмена
CommonModules	ОбщийМодуль	ОбменДаннымиПовтИсп	CommonModules/ОбменДаннымиПовтИсп/Ext/Module.bsl	Метаданные.ФункциональныеОпции
CommonModules	ОбщийМодуль	ОбменДаннымиПодключаемоеОборудованиеOfflineСобытия	CommonModules/ОбменДаннымиПодключаемоеОборудованиеOfflineСобытия/Ext/Module.bsl	РегистрСведений.КодыТоваровПодключаемогоОборудованияOffline
CommonModules	ОбщийМодуль	ОбменДаннымиПодключаемоеОборудованиеOfflineСобытия	CommonModules/ОбменДаннымиПодключаемоеОборудованиеOfflineСобытия/Ext/Module.bsl	Справочник.Номенклатура
CommonModules	ОбщийМодуль	ОбменДаннымиПодключаемоеОборудованиеOfflineСобытия	CommonModules/ОбменДаннымиПодключаемоеОборудованиеOfflineСобытия/Ext/Module.bsl	Справочник.Склады
CommonModules	ОбщийМодуль	ОбменДаннымиРегистрацияСервер	CommonModules/ОбменДаннымиРегистрацияСервер/Ext/Module.bsl	Метаданные.ОбщиеРеквизиты
