source_top_folder	source_type	source_name	source_path	query_table
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	РасчАкц.Строки
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	Родитель.Строки
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СохрСтруктура.ДанныеМногоуровневыхРазделов
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	Страница1.Строки
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтраницаРаздела.Приложение11
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтраницаРаздела.Строки
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтрокаДерева.Строки
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтрокаМнЧ.Данные
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтрокаМнЧасти.Данные
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтрокаТЗ.ТаблицаЗначений
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтруктураИсточник.Данные
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтруктураИсточник.ДанныеМногострочныхЧастей
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтруктураИсточник.Строки
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтруктураРеквизитовФормы.НомераСтрокМногоуровнегоРаздела
Reports	Отчет	РегламентированныйОтчетАкцизыТабак	Reports/РегламентированныйОтчетАкцизыТабак/Forms/ФормаОтчета2020Кв1/Ext/Form/Module.bsl	СтруктураРеквизитовФормы.СтруктураМногострочныхЧастей
