source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Перечисления	КодыТиповСредствРазмещения
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Перечисления	Периодичность
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Перечисления	СпособыРасчетаТуристическогоНалога
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Перечисления	СтавкиНДС
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	ПланыСчетов	Хозрасчетный
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	РегистрыСведений	ЗадачиБухгалтера
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Справочники	Гостиницы
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Справочники	Номенклатура
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Справочники	РегистрацииВНалоговомОргане
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Справочники	СтатьиЗатрат
CommonModules	ОбщийМодуль	УведомлениеОСпецрежимахНалогообложения	CommonModules/УведомлениеОСпецрежимахНалогообложения/Ext/Module.bsl	Документы	УведомлениеОСпецрежимахНалогообложения
CommonModules	ОбщийМодуль	УведомлениеОСпецрежимахНалогообложения	CommonModules/УведомлениеОСпецрежимахНалогообложения/Ext/Module.bsl	Отчеты	Найти
CommonModules	ОбщийМодуль	УведомлениеОСпецрежимахНалогообложения	CommonModules/УведомлениеОСпецрежимахНалогообложения/Ext/Module.bsl	Перечисления	ВидыНалоговыхДокументов
