source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьОбновлениеОбъектовЭДО	CommonModules/РегламентированнаяОтчетностьОбновлениеОбъектовЭДО/Ext/Module.bsl	Справочники	СерверыДокументооборота
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьОбновлениеОбъектовЭДО	CommonModules/РегламентированнаяОтчетностьОбновлениеОбъектовЭДО/Ext/Module.bsl	Справочники	УдалитьВидыОтправляемыхДокументов
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьОбновлениеОбъектовЭДО	CommonModules/РегламентированнаяОтчетностьОбновлениеОбъектовЭДО/Ext/Module.bsl	Справочники	УчетныеЗаписиДокументооборота
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьОбновлениеОбъектовЭДО	CommonModules/РегламентированнаяОтчетностьОбновлениеОбъектовЭДО/Ext/Module.bsl	Справочники	ЦиклыОбмена
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьОбновлениеОбъектовЭДО	CommonModules/РегламентированнаяОтчетностьОбновлениеОбъектовЭДО/Ext/Module.bsl	Справочники	ЭлектронныеПредставленияРегламентированныхОтчетов
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Обработки	ЗакрытиеМесяца
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Обработки	ПомощникУплатыНалога
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Обработки	РегистрацияОрганизации
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	ВариантыУчетаОтложенногоНалога
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	ВидыНалогов
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	ВидыУведомленийОСпецрежимахНалогообложения
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	КатегорииЗастрахованныхЛицДляПФР
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	РегламентныеОперации
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	СистемыНалогообложения
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	СпособОтраженияАвансовВыданных
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	СтраницыЖурналаОтчетность
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	ТипыКонтролирующихОрганов
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Перечисления	ЮридическоеФизическоеЛицо
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	РегистрыСведений	ВыполнениеРегламентныхОперацийНДС
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	РегистрыСведений	ДокументыИнтеграцииСБанком
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	РегистрыСведений	ИзбранныеРегламентированныеОтчеты
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	РегистрыСведений	ФИОФизическихЛиц
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Справочники	ВидыКонтактнойИнформации
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПереопределяемый	CommonModules/РегламентированнаяОтчетностьПереопределяемый/Ext/Module.bsl	Справочники	Организации
CommonModules	ОбщийМодуль	РегламентированнаяОтчетностьПриложения	CommonModules/РегламентированнаяОтчетностьПриложения/Ext/Module.bsl	Документы	СправкиПоНДФЛДляРасчетаПоНалогуНаПрибыль
