source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Обработки	ЗагрузкаКлассификатораБанков
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Перечисления	ВидыДоговоровКонтрагентов
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Перечисления	СостоянияБанковскихДокументов
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Справочники	Банки
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Справочники	БанковскиеСчета
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Справочники	КлассификаторБанков
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Справочники	Контрагенты
CommonModules	ОбщийМодуль	РаботаСБанкамиБП	CommonModules/РаботаСБанкамиБП/Ext/Module.bsl	Справочники	СтраныМира
CommonModules	ОбщийМодуль	РаботаСБанкамиСлужебный	CommonModules/РаботаСБанкамиСлужебный/Ext/Module.bsl	Обработки	Найти
CommonModules	ОбщийМодуль	РаботаСБанкамиСлужебный	CommonModules/РаботаСБанкамиСлужебный/Ext/Module.bsl	Справочники	КлассификаторБанков
CommonModules	ОбщийМодуль	РаботаСДоговорамиКонтрагентовБП	CommonModules/РаботаСДоговорамиКонтрагентовБП/Ext/Module.bsl	Документы	СчетФактураПолученный
CommonModules	ОбщийМодуль	РаботаСДоговорамиКонтрагентовБП	CommonModules/РаботаСДоговорамиКонтрагентовБП/Ext/Module.bsl	Документы	ТипВсеСсылки
CommonModules	ОбщийМодуль	РаботаСДоговорамиКонтрагентовБП	CommonModules/РаботаСДоговорамиКонтрагентовБП/Ext/Module.bsl	Константы	ИспользоватьНумерациюДоговоровСПокупателями
