source_top_folder	source_type	source_name	source_path	query_table
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	Страница.Данные
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтраницаРаздела2.Данные
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаДанных.ДокПдтвОпл
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаДанных.ДокПдтвУпл
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаДанных.КодВидОпер
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаДанных.СвПокуп
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаДанных.СвПосрДеят
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаДанных.СвПрод
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаДерева.Строки
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаТаблЗнач.ДанныеДопСтрок
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	СтрокаТаблицы.ДанныеДопСтрок
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	ТаблДок.Области
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	ТабличныйДокумент.Области
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	ТекТабличноеПоле.Области
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	ТекущиеДанные.ПолучитьЭлементы
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	Узел.Строки
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	УзелЛистаРаздела5.Строки
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	УзелСумВосУпл.Строки
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	Форма.ТаблицаСтраницыРаздела2
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	Форма.ТаблицаСтраницыРаздела3_Прил1
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	Форма.ТаблицаСтраницыРаздела5
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	Форма.мТаблицаСоставПоказателей
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	ЭлементСтруктуры.Значение
Reports	Отчет	РегламентированныйОтчетНДС	Reports/РегламентированныйОтчетНДС/Forms/ФормаОтчета2015Кв1/Ext/Form/Module.bsl	мДанныеОтчета.Раздел2
