source_top_folder	source_type	source_name	source_path	query_table
Reports	Отчет	ЗадолженностьПокупателейПоСрокамДолга	Reports/ЗадолженностьПокупателейПоСрокамДолга/Ext/ManagerModule.bsl	Схема.ВариантыНастроек
Reports	Отчет	ЗадолженностьПоставщикам	Reports/ЗадолженностьПоставщикам/Ext/ManagerModule.bsl	ДанныеОтчета.Объект.Группировка
Reports	Отчет	ЗадолженностьПоставщикам	Reports/ЗадолженностьПоставщикам/Ext/ManagerModule.bsl	ЗначениеРасшифровки.ПолучитьПоля
Reports	Отчет	ЗадолженностьПоставщикамПоСрокамДолга	Reports/ЗадолженностьПоставщикамПоСрокамДолга/Ext/ManagerModule.bsl	ДанныеОтчета.Объект.Группировка
Reports	Отчет	ЗадолженностьПоставщикамПоСрокамДолга	Reports/ЗадолженностьПоставщикамПоСрокамДолга/Ext/ManagerModule.bsl	ДанныеОтчета.Объект.Интервалы
Reports	Отчет	ЗадолженностьПоставщикамПоСрокамДолга	Reports/ЗадолженностьПоставщикамПоСрокамДолга/Ext/ManagerModule.bsl	ЗначениеРасшифровки.ПолучитьПоля
Reports	Отчет	ЗадолженностьПоставщикамПоСрокамДолга	Reports/ЗадолженностьПоставщикамПоСрокамДолга/Ext/ManagerModule.bsl	КомпоновщикНастроек.Настройки.Структура
Reports	Отчет	ЗадолженностьПоставщикамПоСрокамДолга	Reports/ЗадолженностьПоставщикамПоСрокамДолга/Ext/ManagerModule.bsl	ПапкаСПолями.Элементы
Reports	Отчет	ЗадолженностьПоставщикамПоСрокамДолга	Reports/ЗадолженностьПоставщикамПоСрокамДолга/Ext/ManagerModule.bsl	ПараметрыОтчета.Интервалы
Reports	Отчет	ЗадолженностьПоставщикамПоСрокамДолга	Reports/ЗадолженностьПоставщикамПоСрокамДолга/Ext/ManagerModule.bsl	Схема.ВариантыНастроек
Reports	Отчет	ИзменениеУчетныхЗаписей	Reports/ИзменениеУчетныхЗаписей/Ext/ObjectModule.bsl	Данные.ИменаРолей
Reports	Отчет	ИзменениеУчетныхЗаписей	Reports/ИзменениеУчетныхЗаписей/Ext/ObjectModule.bsl	Данные.НастройкиВторогоФактораАутентификации
Reports	Отчет	ИзменениеУчетныхЗаписей	Reports/ИзменениеУчетныхЗаписей/Ext/ObjectModule.bsl	Данные.Роли
Reports	Отчет	ИзменениеУчетныхЗаписей	Reports/ИзменениеУчетныхЗаписей/Ext/ObjectModule.bsl	Метаданные.Роли
Reports	Отчет	ИзменениеУчетныхЗаписей	Reports/ИзменениеУчетныхЗаписей/Ext/ObjectModule.bsl	Метаданные.Языки
Reports	Отчет	ИзменениеУчетныхЗаписей	Reports/ИзменениеУчетныхЗаписей/Ext/ObjectModule.bsl	ПоследнееСобытие.ИменаРолей
Reports	Отчет	ИнвентарнаяКнигаОС	Reports/ИнвентарнаяКнигаОС/Ext/ManagerModule.bsl	РегистрБухгалтерии.Хозрасчетный.Обороты
Reports	Отчет	ИнвентарнаяКнигаОС	Reports/ИнвентарнаяКнигаОС/Ext/ManagerModule.bsl	РегистрБухгалтерии.Хозрасчетный.ОстаткиИОбороты
Reports	Отчет	ИнвентарнаяКнигаОС	Reports/ИнвентарнаяКнигаОС/Ext/ManagerModule.bsl	РегистрСведений.МестонахождениеОСБухгалтерскийУчет
Reports	Отчет	ИнвентарнаяКнигаОС	Reports/ИнвентарнаяКнигаОС/Ext/ManagerModule.bsl	РегистрСведений.ПараметрыАмортизацииОСБухгалтерскийУчет
